aspects,sentiments,snippets,target,sentence
Stock/Price Action/Current Price/52-Week High,0.782,gapping up to all time highs,NKE,$NKE gapping up to all time highs http://stks.co/q1jAu #tradeideas http://stks.co/r1j6c
Stock/Price Action/Bullish,0.46,gasoline prices spike,CLNE,@Intuitiv $CLNE gasoline prices spike in California. http://stks.co/t1bOi
Corporate/Rumors/Scoop,0.0,3 musthave growth stocks,ASOS plc,"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?"
Corporate/Legal/Lawsuit,-0.346,Files Lawsuit Against,VZ,ESPN Files Lawsuit Against Verizon - http://stks.co/i2Cj1 $VZ
Stock/Coverage,0.847,stock jumps to new high,Priceline,Priceline's stock jumps to new high for the year after Barclays upgrade
Corporate/Dividend Policy/Dividend/Dividend going up,0.597,raised dividend,AVGO,$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h
Stock/Price Action/Bearish,-0.507,they keep bringing the share price down,RXII,"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down."
Stock/Price Action/Bearish/Bearish Behavior,-0.304,near a 3 drop thats a lot,AAPL,$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol
Corporate/Dividend Policy,0.52,gonna give solid gains and a dividend,HCP,$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$
Stock/Price Action/Bullish,0.3,If positive stock quickly moves to 10. Downside limited.,ONTY,"$ONTY Continues to base as debate lingers. ONT-10 data next potential catalyst. If positive, stock quickly moves to $10. Downside limited."
Stock/Price Action/Bullish,0.351,Looks like bear traps getting laid,SPY,$SPY Looks like bear traps getting laid faster than Cadbury Creme Eggs by the Easter Bunny
Corporate/Financial/Accounting/Cash Reserves,0.493,great cash balance and impressive growth rate,BBRY,$BBRY Sierra. Has a great cash balance and impressive growth rate.Would be a wonderful marriage!
Market/Conditions,-0.236,same conditions that sent markets to tumble all hitting this week,IWM,$IWM same conditions that sent markets to tumble all hitting this week
Stock/Price Action/Bullish/Bull Position,0.668,time to accumulate for a long position,CRK,$CRK time to accumulate for a long position with far more upside than downside
Stock/Technical Analysis,-0.532,bearish engulfing candle,BWLD,$BWLD bearish engulfing candle
Stock/Signal/Sell Signal,-0.541,SELL signal by NDX internals,QQQ,for @vnoto74 to follow:  after a SELL signal by $NDX internals [06/23] ~> technical SELL $QQQ [06/25] ~> DOWN
Stock/Coverage/Credit Rating,0.526,Affirms A Credit Rating,AWR,$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94
Stock/Signal/Sell Signal,-0.192,set to sell Kipa Giraffe businesses,Kipa,"Tesco set to sell Kipa, Giraffe businesses - Sky News"
Stock/Price Action/Bullish,0.538,Get ready for the bull ride,FREE,$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!
Stock/Price Action/Bullish,0.695,still very undervalued and has major upside,NUAN,$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside
Stock/Price Action/Bearish/Bearish Behavior,-0.545,looks set to fall further,MCD,Why $MCD looks set to fall further. http://stks.co/f2fgj
Market/Volatility,0.153,Being very tender with cash due to volatility,GILD,@technik I still have a smaller $GILD pos. Being very tender with cash due to volatility. So reluctant to keep many big positions.
Stock/Price Action/Bullish/Bull Position,0.724,bot some 78.47 breakout from the consolidation zone,FB,$FB bot some @78.47 breakout from the consolidation zone :D
Stock/Price Action/Bearish,0.126,Potential intermediate top in an Uptrend,CRM,$XLI Potential intermediate top in an Uptrend on a 60'-15'-4' charts http://stks.co/j1TdF
Corporate/Rumors/Rumors,-0.278,takeover rumor,TWTR,$TWTR sad the only thing to move this is a takeover rumor only to be sold off next day !
Stock/Price Action/Bullish,0.368,Long term uptrend intract so far,VRTX,"$VRTX Vertex. Monthly -lower hi/lower lo,  Long term uptrend intract so far"
Corporate/Sales,0.42,sees sales grow,Tesco,Relief for Lewis as Tesco sees sales grow for first time in a year
Stock/Price Action/Bearish/Bearish Behavior,-0.628,PLUNGING,GEVO,$GEVO PLUNGING!  Back to $3.55.
Stock/Technical Analysis,-0.517,still failing to close above the 10D MA,XLE,energy still failing to close above the 10D MA.  continues to stand out weak $XLE
Stock/Technical Analysis,0.253,HeadShoulders bullish reversal setup and breakout,USO,$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO
Corporate/M&A/M&A,0.259,to Acquire AdeS SoyBased Beverage Business From Unilever,CocaCola Companp,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever
Stock/Price Action/Bullish,0.4,bullish story intact,IMRS,"$IMRS - it's important to be pragmatic in analysis...high prices could offer head-winds....bullish story intact,evenif the market rolls over"
Corporate/Sales/Contract Withdrawn,-0.596,Shares Pounded On Fears Of Loss Of Business From,MU,Micron Shares Pounded On Fears Of Loss Of Business From Apple; Stifel Defends $AAPL $MU http://stks.co/t1Z8T @Marjo
Stock/Technical Analysis,0.496,ABC Bullish Pattern,CHKP,"$CHKP ABC Bullish Pattern, Targets https://t.co/uVMmRSR5Zy"
Stock/Price Action/Bullish,0.582,Amazing rebound,TSLA,$TSLA is now up 57% from its February low. Amazing rebound.
Stock/Coverage/AnalystRatings/Downgrade,-0.446,downgraded to neutral,SBUX,$SBUX downgraded to neutral at Deutsche Bank. Price target reduced to $64 from $70.
Stock/Price Action/Bearish/Bearish Behavior,-0.469,down 2.3 today and down 8.9 since being put on The Short,MU,"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU"
Stock/Technical Analysis,0.313,About to break out on the 5min,YHOO,$YHOO About to break out on the 5-min...
Stock/Technical Analysis,0.188,91 now support,IBB,$GILD 91 now support. $IBB $BIB https://t.co/GIoOf6zbKv
Corporate/Legal,-0.434,585 Million Charge on Settlement,HSBC,HSBC Says Unit to Book $585 Million Charge on Settlement
Stock/Price Action/Bearish/Bearish Behavior,-0.39,Thats an impressive bearish move,FB,$FB down 7.5% from this #bearish pattern.  Considering the #bullish sentiment - That's an impressive bearish move https://t.co/TaJF0cH2qh
Corporate/M&A/M&A,0.427,secure ownership of Irelands Dundrum  Quick Facts,JV Partner,"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts"
Stock/Price Action/Bullish/Bull Position,0.388,long,SAVE,$SAVE long. https://t.co/yEJuS9cMlC
Stock/Price Action/Volatility/Short Selling,-0.385,Now it is time to short,TSLA,@mugatushair Now it is time to short $TSLA
Stock/Technical Analysis,-0.14,held the 50 day moving average,COST,$COST Costco less than stellar day but it held the 50 day moving average
Stock/Price Action/Bearish/Bearish Behavior,0.014,under pressure along with the market,PYPL,"$AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT"
Corporate/Dividend Policy,0.354,Dividend Play,COST,Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST
Stock/Price Action/Bearish/Bearish Behavior,-0.462,finally some nice downside move,INTC,$INTC finally some nice downside move... looking for the 31 handle to break
Stock/Price Action,-0.043,bounce  retreats. Not short by any means but action questions big up move.,YHOO,"$YHOO fishy action. New party interested (DailyMail) bounce & retreats. Not short by any means, but action questions big up move. Thoughts?"
Stock/Insider Activity/Insider Selling,-0.186,Sheryl Sandberg Sells 109000 Shares of Facebook,FB,"Sheryl Sandberg Sells 109,000 Shares of Facebook Inc $FB Stock https://t.co/3vXT7AMnpk via @RatingsNetwork"
Corporate/Risks/Product Flaws,-0.186,selling surveillance cameras infected with malware,AMZN,Amazon has been selling surveillance cameras infected with malware $AMZN #Amazon  https://t.co/TohLEQ8FK6 https://t.co/5PR4cBtVVy
Stock/Price Action/Bearish,0.4,hammer candle developing close to 200 sma,TSLA,"$TSLA 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls"
Stock/Coverage/AnalystRatings/Upgrade,0.52,Baird Upgrades Tesla,TSLA,Baird Upgrades Tesla Motors $TSLA to Outperform https://t.co/1FA6aTOqlw
Stock/Coverage/AnalystRatings/Upgrade,0.467,piper Jeffries raises pt,ILMN,$ilmn piper Jeffries raises pt.  I remain long
Corporate/Dividend Policy,0.281,higher dividends,Aviva,Aviva promises higher dividends to boost flagging share price
Stock/Price Action,0.234,could see a nice pop if bids come in higher than expected,YHOO,"@HopeTurock yes, the expectations of a deal are somewhat priced in but we could see a nice pop if bids come in higher than expected... $YHOO"
Stock/Technical Analysis,0.228,200 day sma is the big hurdl,NFLX,I don't see it. 200 day sma is the big hurdle. There is a good base building. $NFLX  https://t.co/ImKYGO2cyc
Corporate/M&A,0.228,parent company in talks with potential partners,YHOO,Daily Mail parent company in talks with potential partners about joint bid for Yahoo's internet assets: https://t.co/mK7MEMtADT $YHOO
Stock/Price Action,0.874,shares jump 8,Fresnillo,CompaniesFresnillo shares jump 8% as silver price breaks $21
Stock/Price Action/Bullish,0.385,expecting SPY to close above 205.20,SPY,expecting  $SPY to close above 205.20 $AAPL
Stock/Price Action/Bullish/Bullish Behavior,0.404,trending nicely intraday.,FB,"$FB trending nicely, intraday."
Corporate/Strategy,0.388,Digital Strategy To Drive Significant Growth With Customer Loyalty,SBUX,Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty $SBUX https://t.co/Xk6lZ3UI3K
Corporate/Rumors/Rumors,0.14,Should you buy. following todays news,Dunelm Group plc,"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?"
Stock/Technical Analysis/Trend,-0.371,Trendline and Resistance,QCOM,"$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY"
Stock/Signal/Buy Signal,0.429,seeks to boost its Wells Fargo stake above 10 percen,Wells Fargo,Berkshire seeks to boost its Wells Fargo stake above 10 percent
Corporate/Strategy,0.229,is expanding its research facilities,INTU,"$INTU is in the process of streamlining its structure, especially through divestment of non-core businesses   https://t.co/dR5baNun2u"
Stock/Price Action/Bullish/Bullish Behavior,0.535,steaming up again this stock is relentless at the moment,TSLA,"$TSLA steaming up again, this stock is relentless at the moment"
Stock/Coverage,0.408,barronsonline sees Apple at 150share in a year,AAPL,.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1
Stock/Coverage/Credit Rating,0.141,Receives New Rating,ADBE,Adobe Receives New Rating from Top Analyst $ADBE https://t.co/LJNXPEvHZN
Corporate/Sales,0.208,Announces Record Esports Viewership,HDSI,Activision Blizzard Media Networks Announces Record #Esports Viewership https://t.co/729BiqLbtK $ATVI partnered with $HDSI for 9 #tournament
Stock/Price Action,-0.779,share price tumbles a,Tesco,Tesco share price tumbles after negative broker note
Corporate/M&A/M&A,0.406,Shareholders Approve Merger With,London Stock Exchange,London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse
Stock/Coverage/AnalystRatings/Upgrade,0.574,initiated incy with an outperform yesterday,INCY,"Also, BMO had just initiated $incy with an outperform yesterday, while several other firms all reiterated buy ratings."
Stock/Price Action/Bearish/Bearish Behavior,0.457,Monday Bulls Are Out,SBUX,@REC_Zakaria Monday Bulls Are Out! Stock Ticker- Michael James Ent. Other picks $SBUX $GVP $NKE
Stock/Signal/Sell Signal,0.432,applies to boost Wells Fargo stake above 10 percen,Wells Fargo,UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct
Corporate/Risks/Product Recall,-0.267,Recall Adds To Reliability Issues,TSLA,#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP
Corporate/Strategy,0.26,joins the opensource Eclipse Foundation,MSFT,Microsoft joins the open-source Eclipse Foundation https://t.co/z8G5cZaKeU focus on collaboration & open business is a smart strategy! $MSFT
Corporate/Sales,0.279,optimism about iPhone sales,AAPL,"Sudden optimism about iPhone sales (i.e., not as bad as expected) gives Apple $AAPL a lift.  https://t.co/oKTCw4YiB5"
Stock/Price Action/Bullish/Bullish Behavior,0.571,NFLX 1 104.80 LONG,NFLX,$NFLX +1% $104.80 LONG streaming services rapidly outpacing traditional cable
Corporate/Regulatory,-0.401,prompt regulatory reviews,GILD,Infection worries prompt regulatory reviews of Gilead leukaemia drug $GILD https://t.co/H9vqXpZ15G via @YahooFinance
Stock/Technical Analysis/Breakout,0.358,Preparing for a Breakout Trade,NFLX,Preparing for a Breakout Trade in Netflix $NFLX  https://t.co/CzHIX3tuAG $$ https://t.co/z1qb9xa4LD
Stock/Technical Analysis,0.598,just broke resistance watching for a redtogreen breakou,CTRP,"$CTRP just broke resistance, watching for a #redtogreen #breakout right out of the gate tomorrow morning. #stocks https://t.co/8VXFUUIt04"
Stock/Coverage/AnalystRatings/Downgrade,-0.539,Deutsche Bank cuts,SBUX,Deutsche Bank cuts $SBUX
Corporate/Financial/Financial Results,-0.374,misses on revenue,FAST,"Fastenal misses by $0.01, misses on revenue $FAST #NYSE https://t.co/63JHQ7pwMN"
Stock/Signal/Buy Signal,0.484,applies to boost Wells Fargo stake above 10 percen,Wells Fargo,Berkshire applies to boost Wells Fargo stake above 10 percent
Corporate/Risks,-0.807,MG suspend property funds as investors panic,MG,"Aviva, M&G suspend property funds as investors panic"
Corporate/Risks/Product Recall,-0.227,recall,TSLA,$TSLA recall
Stock/Coverage/AnalystRatings/Upgrade,0.525,Piper upgrades Symantec on improving renewal rates and enterprise growth,SYMC,Piper upgrades Symantec on improving renewal rates and enterprise growth $SYMC
Stock/Signal/Buy Signal,0.341,NEW Positive Timing Signal,SBUX,#FusionIQ NEW Positive Timing Signal on $SBUX Today https://t.co/9ImlXz4YNa Please Retweet #Signals
Stock/Technical Analysis,0.504,Breakout thru 50  200 DMA,TSLA,#LongPos $TSLA 256 Break-out thru 50 & 200- DMA (197-230) upper head res (274-279) Short squeeze in progress Nr term obj: 310 Stop loss:239
Corporate/Strategy,0.335,Digital Strategy To Drive Significant Growth With Customer Loyalty,SBUX,Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty https://t.co/9Q7cI79IYO $SBUX
Market/Market,0.339,housing market,Perssimon,"UK housing market steadies after Brexit dip, Persimmon says"
Stock/Price Action,0.138,Another attempt to break out,AAPL,Apple: Another attempt to break out on Apple but with weak PVT   $AAPL #Trading #investing #aapl https://t.co/DNh7Hgv22V
Corporate/Dividend Policy,0.439,increase dividend payout,Aviva,BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017
Stock/Technical Analysis/Breakout,0.36,Break out confirmed,ISRG,$ISRG Break out confirmed. Bought Leaps. Good trading!
Corporate/Rumors,0.422,rumors to be realistic,ENDP,"@sharkbiotech If anyone is selling/shorting $AGN b/c you believe $ENDP rumors to be realistic, then I'll take the other side of that trade"
Stock/Price Action/Bearish/Bearish Behavior,-0.511,cracking lower earl,TSLA,$FB & $TSLA cracking lower early. $short #correction #stocks
Stock/Price Action/Bullish/Bull Position,0.248,Today I bought more,ZNGA,Today I bought more $MU $YHOO $VALE $NBL $TWTR $AXP $ZNGA https://t.co/Vt6T5Zp2is
Stock/Price Action/Volatility/Short Selling,-0.373,Shorts continue to pile in.,TSLA,Hard to find new buyers of $TSLA at 250.  Shorts continue to pile in.
Corporate/Appointment,-0.114,fill gap as CEO leaves,Morrisons,Morrisons finance chief to fill gap as CEO leaves early
Stock/Price Action,0.059,No break out yet either direction,AMZN,"$AMZN trades in mid to upper range. No break out yet, either direction"
Corporate/Risks/Product Recall,0.213,announces a recall,TSLA,$TSLA announces a recall and the stock doesn't sell off. This stock is teflon. Won't last forever.
Stock/Price Action/Bullish/Bullish Behavior,0.42,making all kinds of gains ,TSLA,$NFLX and $TSLA making all kinds of gains 📈
Stock/Price Action/Bearish,-0.625,Id be short,FAST,"@TraceyRyniec not just energy, it's so broad. You will see it in WWG and Kaman as well. I'd be short $fast"
Corporate/Sales,0.435,6 rise in house sales,Persimmon,Builder Persimmon hails 6% rise in house sales
Stock/Coverage/AnalystRatings/Upgrade,0.335,reiterates conviction buy,SPY,$AAPL Goldman Sachs reiterates conviction buy on Apple with a $155 PT $SPY $DJIA $GS https://t.co/h5hmXSITwM
Corporate/Risks/Product Recall,-0.287,first Model X recall,TSLA,Tesla issues its first Model X recall https://t.co/t1kMqVwhQQ $TSLA
Corporate/Legal/Lawsuit,-0.602,being sued by FTC,ENDP,$ENDP being sued by FTC.....nobody will buy them with that hanging over their heads
Stock/Price Action/Bearish,-0.383,weakest in todays DT watchlist,TSLA,$TSLA weakest in todays DT watchlist
Stock/Price Action/Bullish,0.452,on fire what is that 6 up days in a row,TSLA,"$TSLA on fire, what is that 6 up days in a row. Someone neeeeds!! in"
Stock/Technical Analysis,0.362,back over support,IBB,$GILD chart: With $IBB back over support. https://t.co/GpRZ2UJFC4
Corporate/Sales,0.225,China car sales 7.8,TSLA,"$KNDI #China #ElectricCar maker. China car sales +7.8%. Also, may feed off $TSLA momentum run lately."
Corporate/Technical Analysis,0.613,using VWAP as guide,ENDP,"took some $ENDP long this am, using VWAP as guide"
Stock/Options,0.501,maybe closing all those AAPL calls i had this morning was a bad idea,AAPL,"maybe closing all those $AAPL calls i had this morning was a bad idea, money left on the table..."
Stock/Price Action/Bearish/Bearish Behavior,-0.215,weekly still under the 50 moving average and creating a lower high,AAPL,$AAPL weekly still under the 50 moving average and creating a lower high. https://t.co/vT7ppzY2UY
Corporate/Financial,0.406,is in a great financial position,ISRG,"Intuitive Surgical $ISRG is in a great financial position, take a look https://t.co/VahhJAcBFG https://t.co/24hQTQX4ou"
Stock/Price Action/Volatility/Short Selling,-0.489,time to short at this point.,NFLX,$NFLX I say it's time to short at this point.
Stock/Coverage/AnalystRatings/Upgrade,0.349,upgraded to Buy,TSLA,$TSLA upgraded to Buy @ Argus w/ $333 PT - you'd almost think after ~100pt run in 5 weeks this would be the sell signal
Stock/Price Action/Bullish,0.328,slight green... May be runner later,FB,$FB slight green... May be runner later
Stock/Coverage/AnalystRatings/Upgrade,0.517,Stock Climbs as Barrons Sees 40 Upside,AAPL,"$AAPL Stock Climbs as Barron's Sees 40% Upside, Jim Cramer's Take  https://t.co/lKlD9mVKBQ"
Corporate/Sales/Sales,0.259,attracts more passengers,Ryanair,EasyJet attracts more passengers in June but still lags Ryanair
Corporate/Risks/Product Recall,-0.31,Tesla to recall 2700 Model X SUVs over seat issue,TSLA,"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs"
Corporate/Financial/Financial Results/Earnings/Profit Warning,-0.366,tumbles on Q1 warning,JNPR,Juniper tumbles on Q1 warning; Cisco also lower $JNPR $CSCO https://t.co/bGvIntk43h
Stock/Price Action/Bullish,0.323,pretty bullish for now,ATVI,"$ATVI ooks pretty bullish for now. from a short-term perspective, it's got a good chance of maybe sliding back to 33.70 #stocks #investing"
Stock/Fundamentals,0.937,Profit Up Strongly Outlook Positive,Persimmon,"UPDATE: Persimmon Profit Up Strongly, Outlook Positive"
Stock/Price Action/Bullish/Bullish Behavior,0.418,a parser buy signal,CTRP,$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast
Stock/Coverage/AnalystRatings/Downgrade,-0.485,indicating a SELL Rating,TSLA,"78 users on Vetr are bearish on Tesla Motors, Inc., indicating a SELL Rating (2 stars) for $TSLA https://t.co/vVpzqCXsNJ"
Corporate/M&A,0.129,ripe for a takeover target,YHOO,4 beaten-down Internet companies that may be ripe for a #takeover target: #Twitter $TWTR - #LinkedIn $LNKD - #Yahoo! $YHOO - #Groupon $GRPN
Stock/Price Action/Bullish/Bullish Behavior,0.48,long play,STX,"$STX long play, another consistent profit zone.. check it out https://t.co/DQfuzOzYlh https://t.co/ggne4ayzqn"
Stock/Price Action/Bearish/Bearish Behavior,-0.343,hits mid 110s and drops,FB,"$FB trend, hits mid 110's and drops"
Stock/Price Action,0.485,Trying to break daily trend line,PCLN,$PCLN Trying to break daily trend line! Big move could happen https://t.co/gY0aDb2jsQ https://t.co/KPBBCgQ2xy
Stock/Fundamentals,-0.536,Such a bloated valuation,FB,$FB I've been dead on so far. Such a bloated valuation. https://t.co/czCf8Kbrlt
Corporate/Risks/Product Recall,-0.347,recall model,TSLA,$TSLA recall model X https://t.co/b7izYa4BuE
Corporate/Risks/Product Recall,-0.336,Recalls 2700 Model X Vehicles,TSLA,"$TSLA Recalls 2,700 Model X Vehicles; Shares Volatile https://t.co/tcKqZnMIqX #TSLA #tech #stockmarket https://t.co/FeMhJtAmQj"
Corporate/Risks/Product Recall,-0.308,recalls all Model X cars,TSLA,Breaking: Tesla recalls all Model X cars  .. details on show now $TSLA
Stock/Technical Analysis,0.387,RSI is over 50,QCOM,"$QCOM The indicator RSI is over 50, which stands at 56.1, an upward movement is expected. https://t.co/yfa9jcUsQa"
Stock/Price Action/Bullish/Bullish Behavior,0.248,Stocks Rally,TSCO,Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets $TSCO https://t.co/BmvhcrwREA
Stock/Coverage/AnalystRatings,-0.019,maintains Neutral rating,TRIP,$TRIP maintains Neutral rating at JP Morgan- PT cut $61 from $66
Stock/Coverage/AnalystRatings/Upgrade,0.465,was just upgraded to buy,GOOGL,Why Alphabet Inc was just upgraded to buy https://t.co/dEVnLKhqtZ $GOOGL
Stock/Price Action/Bearish/Bearish Behavior,-0.308,short into the next 30 days heading into earnings,NFLX,@NASDboy I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings
Stock/Price Action/Bullish/Bull Position,0.557,Added more,BBBY,Added more $BBBY @jimcramer is wrong about this one. Still a very profitable merchant with profitable stores
Stock/Price Action/Bullish/Bull Position,0.513,Added long at friday close,SPY,Added long at friday close  $SPY $LABU $BLUE $AMZN
Stock/Coverage/AnalystRatings/Downgrade,-0.513,Another Sell Rating Sell Ratings On,BAC,"Isolationism? Another Sell Rating, Sell Ratings On SPY, QQQ, IWM And Several Companies https://t.co/j35FNnx744 $AAPL #APPLE $AXP $BAC"
Stock/Price Action/Bullish/Bull Position,0.488,long,TWTR,long $SDLP $CPGX $TWTR $BITA $LABU $FB $TSLA $ETE $SDRL  Autocharts @ https://t.co/nxLx1ES7nY
Corporate/Dividend Policy,0.463,Dividend Play,COST,Costco: A Premier Retail Dividend Play https://t.co/J3UhTs022M $COST
Stock/Coverage/AnalystRatings/Upgrade,0.512,Pivotal Research upgrading GOOGL to buy,GOOGL,Pivotal Research upgrading $GOOGL to buy.  https://t.co/LSahepdqhD    #stocktrading
Stock/Price Action/Bullish,0.408,Most bullish stocks on Twitter during this dip,YHOO,Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3
Stock/Technical Analysis,-0.3,study the charts,TSLA,$TSLA <STUDY the CHARTS> Pullback_Time https://t.co/ZMDG0fb3I7
Corporate/Sales,0.365,deliveries are up 35 in Germany  record deliveries in March,TSLA,#Tesla Model S deliveries are up 35% in Germany - record deliveries in March [Chart] https://t.co/yCnClcBImV  $TSLA
Stock/Fundamentals,0.422,We see slow steady unspectacular growth going forward near term,GILD,"Last month we added to our $GILD position and started a new one in $BWLD We see slow, steady, unspectacular growth going forward near term"
Stock/Technical Analysis,0.318,lots of green on th 5min,TSLA,"$TSLA lots of green on the 5 min, watch the hourly $259.33 possible resistance currently @ $257.00"
Corporate/Sales/Sales,0.47,Positive TopLine Results,AMGN,$AMGN And #UCB Announce Positive Top-Line Results From Ph3 Study Evaluating Romosozumab In Men... https://t.co/4hBoUDR8B8 via @YahooFinance
Stock/Price Action/Bearish/Bear Position,-0.043,Sold some TSLA Puts this morning,TSLA,Sold some $TSLA Puts this morning Closed them at the close. Helps pay for monthly expenses
Corporate/Risks/Product Flaws,-0.49,is awful why did it force an upgrade on my pc without my consent,MSFT,Windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #Microsoft $msft
Stock/Price Action/Bullish/Bullish Behavior,0.536,breaks another down trend and continues higher,EXPE,$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0
Stock/Price Action,0.469,not getting follow through either side of price action,ENDP,"$ENDP exit reversal .11 X 3K shares = $330 - now Long - not getting follow through, either side of price action"
Stock/Technical Analysis,0.498,its through sma100 resistance,CTRP,$CTRP not a bad long chart now that it's through sma100 resistance.
Stock/Price Action/Bearish/Bearish Behavior,0.034,odays price action wasnt appealing,ENDP,$ENDP Was looking for a long entry but today's price action wasn't appealing
Stock/Price Action/Bullish/Bullish Behavior,0.588,strong tech leads DOW higher,INTC,"$INTC & $AAPL strong, tech leads DOW higher"
Stock/Price Action/Bullish,0.364,breaking out,CTRP,$CTRP breaking out https://t.co/Z2je3rTKch
Stock/Price Action/Bullish/Bullish Behavior,0.468,strong rail today after breaking intraday resistance,CSX,$CSX another strong rail today after breaking intraday resistance at 1$9.80 https://t.co/eA4FBVuqGP
Stock/Price Action/Bearish,-0.537,think were toppy,SPY,loading $SPY and $AAPL puts. think were toppy IMHO.
Stock/Price Action/Bullish/Bull Position,0.659,bot AMZN 600 weekly calls here,AMZN,bot $AMZN 600 weekly calls here @ 5.93
Stock/Price Action/Bullish,0.366,watching for bounce tomorrow,FB,$FB watching for bounce tomorrow
Corporate/Financial,0.418,Surging Forward today post earnings,CAFN,#Fintech provider $CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26% https://t.co/9BJ3csk2i9 $JKHY $FISV #Momo
Stock/Price Action/Bearish,-0.334,hought thered be some support around the 50d but I guess not.,FB,"Really surprised by how much $FB has now fallen. Thought there'd be some support around the 50d, but I guess not."
Stock/Price Action/Bullish,0.45,bad day to short,TSLA,$tsla bad day to short
Corporate/Risks/Product Recall,-0.235,RECALL 2700 MODEL X,TSLA,"$TSLA TO RECALL 2,700 MODEL X SUVS FOR SEAT-BELT FIX"
Stock/Coverage/AnalystRatings,0.509,Analyst Rated Stocks,ORCL,5 Best Analyst Rated Stocks in Last 72hrs: $ORCL $AAPL $CBS $INO $CPXX View all ratings here: https://t.co/IRID6zd5gc
Stock/Price Action/Bullish/Bull Position,0.628,Bought some more,CELG,Bought some more $CELG as it is ready for a bounce.
Stock/Coverage/AnalystRatings,0.474,Analysts impressed with progress,TSLA,Analysts impressed with progress at Tesla's flagship factory; co spent $1.6B on upgrades in '15 https://t.co/SABxCSn8cd by @tsrandall $TSLA
Stock/Price Action/Bullish,0.465,A good place to take a shot,CELG,"$CELG back near 104, where it opened and rallied higher last wk. A good place to take a shot https://t.co/zwHThSvFSF"
Stock/Price Action/Bullish/Bullish Behavior,0.529,new HOD with conviction,AMZN,$AMZN new HOD with conviction keeping $570 on watch for Resistance.
Stock/Price Action/Bearish,-0.387,rejecting HIGHS shortable,FB,$FB  rejecting HIGHS shortable...at 109
Corporate/Financial/Financial Results/Earnings,0.461,Wall Street is expecting EPS to be at,CSX,"$CSX is up today to report.  Wall Street is expecting EPS to be at $0.37, and revenues at $2,732B."
Corporate/Strategy/Share Buyback,0.365,CRH backs Lafarge Holcim asset buy,Lafarge Holcim,TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan
Stock/Price Action/Bearish/Bearish Behavior,-0.393,turns back down in early trading,FB,$FB turns back down in early trading.... https://t.co/reuf5PzhBm
Stock/Price Action/Bullish,0.471,Week made in a morning.,FB,Followed the levels I shared with you on $NFLX $GOOGL $TSLA calls for nice gains. Still holding $FB 110 calls. Week made in a morning.
Corporate/Sales,-0.105,daily sales slowing again,GWW,"$FAST $GWW - daily sales slowing again, pretty timely coincident indicator https://t.co/m6BKHBkzK5"
