aspects,sentiments,snippets,target,sentence,combined,news
Stock/Price Action/Volatility/Short Selling,-0.528,not available for shorting at this time,W,@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,not available for shorting at this time @scottrade Why is $tsla not available for shorting at this time?  Same for $w?,available shorting time scottrade tsla available shorting time  w
Stock/Coverage/AnalystRatings/Downgrade,-0.611,Deutsche Bank Downgraded Starbucks,SBUX,Deutsche Bank Downgraded Starbucks Co. $SBUX https://t.co/QqlEvVwPMV https://t.co/f2PdQjuTHa,Deutsche Bank Downgraded Starbucks Deutsche Bank Downgraded Starbucks Co. $SBUX https://t.co/QqlEvVwPMV https://t.co/f2PdQjuTHa,deutsche bank downgraded starbucks deutsche bank downgraded starbucks co sbux httpstcoqqlevvwpmv httpstcofpdqjutha
Corporate/Dividend Policy,-0.066,dividend  3,GOOG,Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,dividend  3 Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,dividend   coke dividend   google dividend   passive income coke takes goog ko httpstcoqbsowjxost
Corporate/Financial/Financial Results/Earnings/Profit Warning,-0.556,tumbles on Q1 warning,JNPR,Juniper tumbles on Q1 warning; Cisco also lower https://t.co/N8X8BpLJ1E $JNPR $CSCO,tumbles on Q1 warning Juniper tumbles on Q1 warning; Cisco also lower https://t.co/N8X8BpLJ1E $JNPR $CSCO,tumbles q warning juniper tumbles q warning cisco also lower httpstconxbplje jnpr csco
Stock/Price Action/Bullish,0.521,Looking for a strong bounce,SPY,Looking for a strong bounce $SPY -- Lunchtime rally coming. $DIA $IWM $QQQ $AA $FB,Looking for a strong bounce Looking for a strong bounce $SPY -- Lunchtime rally coming. $DIA $IWM $QQQ $AA $FB,looking strong bounce looking strong bounce spy  lunchtime rally coming dia iwm qqq aa fb
Stock/Price Action/Bearish,-0.296,DJI overbought,VZ,"DJI overbought: $AAPL, $AXP, $BA, $CVX, $IBM, $INTC, $VZ https://t.co/wMy1PnomJF","DJI overbought DJI overbought: $AAPL, $AXP, $BA, $CVX, $IBM, $INTC, $VZ https://t.co/wMy1PnomJF",dji overbought dji overbought aapl axp ba cvx ibm intc vz httpstcowmypnomjf
Corporate/Company Communication,0.144,defends Berkshire Hathaways conglomerate structure,Berkshire Hathaway,Warren Buffett defends Berkshire Hathaway's conglomerate structure,defends Berkshire Hathaways conglomerate structure Warren Buffett defends Berkshire Hathaway's conglomerate structure,defends berkshire hathaways conglomerate structure warren buffett defends berkshire hathaways conglomerate structure
Stock/Coverage/AnalystRatings/Upgrade,0.61,upgrades to outperform lifts price target,TSLA,"Baird likes $TSLA - upgrades to outperform, lifts price target to $300. Research firm also sees no capital raise necessary in next few qtrs","upgrades to outperform lifts price target Baird likes $TSLA - upgrades to outperform, lifts price target to $300. Research firm also sees no capital raise necessary in next few qtrs",upgrades outperform lifts price target baird likes tsla  upgrades outperform lifts price target research firm also sees capital raise necessary next qtrs
Corporate/Risks/Product Recall,0.003,recall not a big deal,TSLA,$tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...,recall not a big deal $tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...,recall big deal tsla x recall big deal problem excuse guide way way lower
Stock/Technical Analysis,0.281,testing the 200 day ma,TSLA,$TSLA not dipping - testing the 200 day ma https://t.co/jEPLmZQKGW,testing the 200 day ma $TSLA not dipping - testing the 200 day ma https://t.co/jEPLmZQKGW,testing day tsla dipping  testing day httpstcojeplmzqkgw
Stock/Price Action/Bullish,0.368,looking for a sharp move up in equities,LOW,"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.","looking for a sharp move up in equities On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",looking sharp move equities fedday looking sharp move equities aapl hd low fb seeing uvxy tvix getting hammered even though market 
Stock/Price Action/Bearish/Bearish Behavior,-0.551,down 20 in afterhour market,JD,$JD down 20% in after-hour market. anyone care to explain why?,down 20 in afterhour market $JD down 20% in after-hour market. anyone care to explain why?,afterhour market jd afterhour market anyone care explain 
Stock/Price Action/Bullish,0.326,Look at that AMZN  600,AMZN,Look at that $AMZN > 600,Look at that AMZN  600 Look at that $AMZN > 600,look amzn   look amzn
Corporate/M&A/M&A,0.391,the bidding war picks up for the company,YHOO,Yahoo stock is up to $36.46 as the bidding war picks up for the company https://t.co/JDNZXDCMkl $YHOO https://t.co/HmOegfHgvn,the bidding war picks up for the company Yahoo stock is up to $36.46 as the bidding war picks up for the company https://t.co/JDNZXDCMkl $YHOO https://t.co/HmOegfHgvn,bidding war picks company yahoo stock bidding war picks company httpstcojdnzxdcmkl yhoo httpstcohmoegfhgvn
Stock/Price Action/Bearish/Bearish Behavior,-0.383,shares down as much as 4.2,SBUX,Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k,shares down as much as 4.2 Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k,shares much starbucks shares much sbux httpstcojlgrprrk
Corporate/Financial/Financial Results/Earnings/Earnings Beat,-0.248,Beat the estimates,AAPL,$AAPL Beat the estimates. Will still go down on lack of new products. https://t.co/sX3z7u6N8o,Beat the estimates $AAPL Beat the estimates. Will still go down on lack of new products. https://t.co/sX3z7u6N8o,beat estimates aapl beat estimates still go lack new products httpstcosxzuno
Stock/Price Action/Bullish/Bull Position,0.613,long,AAPL,long $AAPL 107 calls @ .40,long long $AAPL 107 calls @ .40,long long aapl  calls
Stock/Technical Analysis,0.102,faces a different technical test today,NFLX,"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY","faces a different technical test today Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",faces different technical test today facebook near buy point last week faces different technical test today httpstcocllmpinm fb aapl nflx httpstcofpfbytypuy
Stock/Coverage/AnalystRatings/Downgrade,-0.531,down PM from DB downgrade,SBUX,"$SBUX down PM, from $DB downgrade.. PT cut from 70 to $64","down PM from DB downgrade $SBUX down PM, from $DB downgrade.. PT cut from 70 to $64",pm db downgrade sbux pm db downgrade pt cut 
Stock/Technical Analysis,-0.441,working on a couple daily dojis,EBAY,$EBAY  e-bay bay!  working on a couple daily dojis .. should continue to the downside  https://t.co/lgU0yBxEZe,working on a couple daily dojis $EBAY  e-bay bay!  working on a couple daily dojis .. should continue to the downside  https://t.co/lgU0yBxEZe,working couple daily dojis ebay  ebay bay  working couple daily dojis  continue downside  httpstcolguybxeze
Stock/Price Action/Current Price/52-Week High,0.419,Breaking 52 week highs timing looks great now,VNET,Breaking 52 week highs timing looks great now $AHS $BABY $POST $IGE $IRDM $EWBC $PHYS $ULTA $VNET $BIV https://t.co/11K8JzuzMU,Breaking 52 week highs timing looks great now Breaking 52 week highs timing looks great now $AHS $BABY $POST $IGE $IRDM $EWBC $PHYS $ULTA $VNET $BIV https://t.co/11K8JzuzMU,breaking  week highs timing looks great breaking  week highs timing looks great ahs baby post ige irdm ewbc phys ulta vnet biv httpstcokjzuzmu
Corporate/Risks/Product Recall,-0.378,ecalling pretty much every single model,TSLA,$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,ecalling pretty much every single model $TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,ecalling pretty much every single model tsla recalling pretty much every single model x cnnbrk got short even work jump money trade
Stock/Price Action/Bullish/Bullish Behavior,0.394,high of day just hit.,AAPL,$aapl high of day just hit. Back at it tomorrow.,high of day just hit. $aapl high of day just hit. Back at it tomorrow.,high day hit aapl high day hit back tomorrow
Stock/Price Action/Bullish,0.518,shorts getting skinned again,TSLA,ouch looks like $tsla shorts getting skinned again,shorts getting skinned again ouch looks like $tsla shorts getting skinned again,shorts getting skinned ouch looks like tsla shorts getting skinned 
Corporate/Dividend Policy,0.484,Dividend Increase Rewards Patient Investors,QCOM,"Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM","Dividend Increase Rewards Patient Investors Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM",dividend increase rewards patient investors qualcomm  dividend increase rewards patient investors future looks bright httpstcotjjvpqhhqd qcom
Stock/Coverage/AnalystRatings/Upgrade,0.456,received a Buy rating,FB,Facebook $FB received a Buy rating from Wells Fargo 5-star Analyst Peter Stabler (Wells Fargo) https://t.co/jnB4c9vdCu,received a Buy rating Facebook $FB received a Buy rating from Wells Fargo 5-star Analyst Peter Stabler (Wells Fargo) https://t.co/jnB4c9vdCu,received buy rating facebook fb received buy rating wells fargo star analyst peter stabler wells fargo httpstcojnbcvdcu
Stock/Price Action/Bullish,-0.485,if we can find support around 243.39 and pop up,TSLA,$TSLA Wish had my puts back but see if we can find support around 243.39 and pop up so that I can get back in. https://t.co/hFkLq3WObV,if we can find support around 243.39 and pop up $TSLA Wish had my puts back but see if we can find support around 243.39 and pop up so that I can get back in. https://t.co/hFkLq3WObV,find support around  pop tsla wish puts back see find support around  pop get back httpstcohfklqwobv
Stock/Coverage/AnalystRatings/Upgrade,0.529,Position Increased by Mizuho,CTXS,Citrix Systems Inc $CTXS Position Increased by Mizuho… https://t.co/v7Lkq08Flp @ShareStockNews,Position Increased by Mizuho Citrix Systems Inc $CTXS Position Increased by Mizuho… https://t.co/v7Lkq08Flp @ShareStockNews,position increased mizuho citrix systems inc ctxs position increased mizuho httpstcovlkqflp sharestocknews
Stock/Options,0.513,Notable gainers among liquid option names this morning,X,"Notable gainers among liquid option names this morning include $STX (+7.0%), $NEM (+4.6%), $WDC (+4.2%), $X (+4.1%), and $GME (+3.4%),","Notable gainers among liquid option names this morning Notable gainers among liquid option names this morning include $STX (+7.0%), $NEM (+4.6%), $WDC (+4.2%), $X (+4.1%), and $GME (+3.4%),",notable gainers among liquid option names morning notable gainers among liquid option names morning include stx  nem  wdc  x  gme
Corporate/Strategy/Business Outlook,-0.39,Is Facebooks user engagement falling,FB,Is #Facebook's user engagement falling? https://t.co/tqMMt7N16X $FB https://t.co/sedqRWgdkt,Is Facebooks user engagement falling Is #Facebook's user engagement falling? https://t.co/tqMMt7N16X $FB https://t.co/sedqRWgdkt,facebooks user engagement falling facebooks user engagement falling httpstcotqmmtnx fb httpstcosedqrwgdkt
Corporate/Risks,0.252,contract problems remain,G4S,G4S sees profits rise but UK contract problems remain,contract problems remain G4S sees profits rise but UK contract problems remain,contract problems remain gs sees profits rise uk contract problems remain
Corporate/Financial/Financial Results/Earnings,0.387,lifts profits 38,Friends Life,Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,lifts profits 38 Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,lifts profits  friends life lifts profits  hikes divi ahead proposed aviva takeover
Stock/Price Action,0.655,share price surges,Auto Trader,Auto Trader share price surges as company floats on LSE,share price surges Auto Trader share price surges as company floats on LSE,share price surges auto trader share price surges company floats lse
Corporate/Risks,-0.181,boss faces stiff challenge,Credit Suisse,New Credit Suisse boss faces stiff challenge in Asia,boss faces stiff challenge New Credit Suisse boss faces stiff challenge in Asia,boss faces stiff challenge new credit suisse boss faces stiff challenge asia
Corporate/Sales,0.284,Traffic Up,Aer Lingus,"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February","Traffic Up UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",traffic update easyjet passenger numbers aer lingus traffic february
Corporate/Strategy/Investment,0.161,Investing In Tesco PLC And Prudential plc Now,Tesco PLC,Is It Worth Investing In Tesco PLC And Prudential plc Now?,Investing In Tesco PLC And Prudential plc Now Is It Worth Investing In Tesco PLC And Prudential plc Now?,investing tesco plc prudential plc worth investing tesco plc prudential plc 
Corporate/Appointment/Executive Appointment,0.137,hires Avivas David Hillier for multiasset team,Insight,Insight hires Aviva's David Hillier for multi-asset team,hires Avivas David Hillier for multiasset team Insight hires Aviva's David Hillier for multi-asset team,hires avivas david hillier multiasset team insight hires avivas david hillier multiasset team
Market/Market/Market Trend,0.516,FTSE 100 Gainers,Friends Life,UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,FTSE 100 Gainers UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,ftse  gainers uk winners  losers aviva friends life lead ftse  gainers
Market/Market,0.536,in tough market,Sainsbury,Sainsbury's says to outperform rivals in tough market,in tough market Sainsbury's says to outperform rivals in tough market,tough market sainsburys says outperform rivals tough market
Corporate/M&A/Proposed Merger,-0.253,bid for Mr Bricolage runs into trouble,Mr Bricolage,CompaniesKingfisher bid for Mr Bricolage runs into trouble,bid for Mr Bricolage runs into trouble CompaniesKingfisher bid for Mr Bricolage runs into trouble,bid mr bricolage runs trouble companieskingfisher bid mr bricolage runs trouble
Stock/IPO,0.641,shares leap in UKs biggest private equitybacked listing,Auto Trader,UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,shares leap in UKs biggest private equitybacked listing UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,shares leap uks biggest private equitybacked listing update auto trader shares leap uks biggest private equitybacked listing
Market/Market,0.514,drive markets higher,Ashtead,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls","drive markets higher London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",drive markets higher london open taylor wimpey ashtead drive markets higher barclays falls
Corporate/Strategy/Reorganization,0.264,complete deals to reshape both drugmakers,Novartis,GSK and Novartis complete deals to reshape both drugmakers,complete deals to reshape both drugmakers GSK and Novartis complete deals to reshape both drugmakers,complete deals reshape drugmakers gsk novartis complete deals reshape drugmakers
Corporate/M&A/M&A,0.39,Life top forecasts ahead of 5.6 billion pound merger,Friends Life,"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger","Life top forecasts ahead of 5.6 billion pound merger Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",life top forecasts ahead billion pound merger aviva friends life top forecasts ahead billion pound merger
Corporate/M&A/M&A,0.283,to Sell OneMain to Springleaf for 4.25 Billion,OneMain,Citigroup to Sell OneMain to Springleaf for $4.25 Billion,to Sell OneMain to Springleaf for 4.25 Billion Citigroup to Sell OneMain to Springleaf for $4.25 Billion,sell onemain springleaf billion citigroup sell onemain springleaf billion
Stock/Price Action/Bullish/Bullish Behaviour,0.544,U.K. Stocks Resume Gains to Rally to Record,Tullow,"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb","U.K. Stocks Resume Gains to Rally to Record U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",uk stocks resume gains rally record uk stocks resume gains rally record crh tullow climb
Stock/Price Action/Bearish/Bearish Behaviour,-0.437,British American Tobacco drops,PwC,British American Tobacco drops and sues PwC over pollution scandal,British American Tobacco drops British American Tobacco drops and sues PwC over pollution scandal,british american tobacco drops british american tobacco drops sues pwc pollution scandal
Market/Market/Market Trend,-0.651,UKs FTSE has worst day so far in 201,Prudential,UK's FTSE has worst day so far in 2015 as BG and Prudential fall,UKs FTSE has worst day so far in 201 UK's FTSE has worst day so far in 2015 as BG and Prudential fall,uks ftse worst day far uks ftse worst day far bg prudential fall
Corporate/Rumors/Scoop,-0.158,in Total Recall how pulling a product affects profit,Cadburys,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit","in Total Recall how pulling a product affects profit Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",total recall pulling product affects profit kraft cadburys britvic total recall pulling product affects profit
Corporate/M&A/M&A,0.214,Merger Came Together in Speedy 10 Weeks,Kraft,How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,Merger Came Together in Speedy 10 Weeks How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,merger came together speedy  weeks kraftheinz merger came together speedy  weeks
Corporate/Sales/Partnership,0.364,Teams With Daiichi Sankyo To Sell Movantik In US,Daiichi Sankyo,AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,Teams With Daiichi Sankyo To Sell Movantik In US AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,teams daiichi sankyo sell movantik us astrazeneca teams daiichi sankyo sell movantik us
Stock/Price Action,-0.216,Sensex pares gains,Sensex,RBI surprises Street; Sensex pares gains after hitting mount 30k,Sensex pares gains RBI surprises Street; Sensex pares gains after hitting mount 30k,sensex pares gains rbi surprises street sensex pares gains hitting mount k
Corporate/Strategy,0.125,poaches Prudentials Thiam for Asian push,Credit Suisse,Credit Suisse poaches Prudential's Thiam for Asian push,poaches Prudentials Thiam for Asian push Credit Suisse poaches Prudential's Thiam for Asian push,poaches prudentials thiam asian push credit suisse poaches prudentials thiam asian push
Corporate/M&A/Proposed Merger,-0.311,Kingfisher takeover of Mr Bricolage could hit a brick wall,Mr Bricolage,Kingfisher takeover of Mr Bricolage could hit a brick wall,Kingfisher takeover of Mr Bricolage could hit a brick wall Kingfisher takeover of Mr Bricolage could hit a brick wall,kingfisher takeover mr bricolage could hit brick wall kingfisher takeover mr bricolage could hit brick wall
Stock/Price Action/Bearish/Bearish Behaviour,-0.508,Barclays Shell Fall,Shell,"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall","Barclays Shell Fall U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",barclays shell fall uk stocks little changed near record barclays shell fall
Stock/Price Action/Volatility/Stock Volatility,0.053,Admiral blows hot and cold,Friends Life,Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,Admiral blows hot and cold Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,admiral blows hot cold insurers admiral blows hot cold aviva soars prefriends life merger
Corporate/Sales/Partnership,0.361,AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK,Daiichi Sankyo,AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,astrazeneca daiichi sankyo jointly commercialise movantik astrazeneca daiichi sankyo jointly commercialise movantik us
Stock/Signal/Buy Signal,0.379,Legal  General arm buys 50 pct stake in MediaCityUK,MediaCityUK,Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,Legal  General arm buys 50 pct stake in MediaCityUK Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,legal  general arm buys  pct stake mediacityuk legal  general arm buys  pct stake mediacityuk manchester
Corporate/Dividend Policy,-0.052,dividend still increases,Rangold,Randgold profit hit by poor gold price but dividend still increases,dividend still increases Randgold profit hit by poor gold price but dividend still increases,dividend still increases randgold profit hit poor gold price dividend still increases
Corporate/Dividend Policy,0.494,lifts dividend,Travis Perkins,"CompaniesTravis Perkins lifts dividend, earnings rise 15%","lifts dividend CompaniesTravis Perkins lifts dividend, earnings rise 15%",lifts dividend companiestravis perkins lifts dividend earnings rise
Market/Market/Market Trend,0.443,Aviva tops the market,Friends,Market Report: Aviva tops the market as traders approve of its choice of Friends,Aviva tops the market Market Report: Aviva tops the market as traders approve of its choice of Friends,aviva tops market market report aviva tops market traders approve choice friends
Corporate/Appointment/Executive Appointment,0.025,picks Standard Banks Hemphill as new CEO,Standard Bank,Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,picks Standard Banks Hemphill as new CEO Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,picks standard banks hemphill new ceo insurer old mutual picks standard banks hemphill new ceo
Corporate/Sales,0.704,after strong sales,Primark,Primark racks up a happy Christmas after strong sales,after strong sales Primark racks up a happy Christmas after strong sales,strong sales primark racks happy christmas strong sales
Corporate/Regulatory,0.143,backs safety updates for AstraZenec,AstraZeneca,"FDA panel backs safety updates for AstraZeneca, Takeda drugs","backs safety updates for AstraZenec FDA panel backs safety updates for AstraZeneca, Takeda drugs",backs safety updates astrazenec fda panel backs safety updates astrazeneca takeda drugs
Corporate/Risks,0.0,India boardroom turmoil,Diageo,CompaniesDiageo stays neutral on India boardroom turmoil,India boardroom turmoil CompaniesDiageo stays neutral on India boardroom turmoil,india boardroom turmoil companiesdiageo stays neutral india boardroom turmoil
Stock/Fundamentals,0.446,to grow this year after solid end to 2014,Pearson,UPDATE 1-Pearson expects to grow this year after solid end to 2014,to grow this year after solid end to 2014 UPDATE 1-Pearson expects to grow this year after solid end to 2014,grow year solid end update pearson expects grow year solid end 
Corporate/Reputation,-0.046,will not affect image of,Germanwings,Germanwings disaster will not affect image of budget air travel - easyJet,will not affect image of Germanwings disaster will not affect image of budget air travel - easyJet,affect image germanwings disaster affect image budget air travel  easyjet
Corporate/Rumors/Rumors,-0.345,Deal Meets Shareholder Skepticism,Shell,Shell's $70 Billion BG Deal Meets Shareholder Skepticism,Deal Meets Shareholder Skepticism Shell's $70 Billion BG Deal Meets Shareholder Skepticism,deal meets shareholder skepticism shells  billion bg deal meets shareholder skepticism
Corporate/Sales/Deal,0.136,sells Blinkbox and broadband service to,TalkTalk,Tesco sells Blinkbox and broadband service to TalkTalk,sells Blinkbox and broadband service to Tesco sells Blinkbox and broadband service to TalkTalk,sells blinkbox broadband service tesco sells blinkbox broadband service talktalk
Corporate/M&A/M&A,0.193,offers 50 percent premium to buy,Shell,Shell offers 50 percent premium to buy BG for $70 billion,offers 50 percent premium to buy Shell offers 50 percent premium to buy BG for $70 billion,offers  percent premium buy shell offers  percent premium buy bg billion
Corporate/Sales,0.251,boosts sales,WPP,WPP boosts sales despite cautious clients,boosts sales WPP boosts sales despite cautious clients,boosts sales wpp boosts sales despite cautious clients
Corporate/M&A/M&A,0.25,buy BG Group in 69.7 billion takeover,Shell,Shell to buy BG Group in $69.7 billion takeover,buy BG Group in 69.7 billion takeover Shell to buy BG Group in $69.7 billion takeover,buy bg group billion takeover shell buy bg group billion takeover
Stock/Price Action/Bullish/Bullish Behaviour,0.556,Shares Rise,Standard Chartered,LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,Shares Rise LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,shares rise london morning briefing hsbc standard chartered shares rise
Corporate/Risks,0.037,shareholders back more disclosure on climate change risks,BP,UPDATE 1-BP shareholders back more disclosure on climate change risks,shareholders back more disclosure on climate change risks UPDATE 1-BP shareholders back more disclosure on climate change risks,shareholders back disclosure climate change risks update bp shareholders back disclosure climate change risks
Corporate/Strategy/Corporate Expansion,-0.196,challenges Exxon dominance with 47 billionpound bid for BG,Exxon,Shell challenges Exxon dominance with 47 billion-pound bid for BG,challenges Exxon dominance with 47 billionpound bid for BG Shell challenges Exxon dominance with 47 billion-pound bid for BG,challenges exxon dominance billionpound bid bg shell challenges exxon dominance billionpound bid bg
Corporate/M&A/M&A,0.259,Royal Dutch Shell to Buy BG Group for Nearly 70 Billion,Royal Dutch Shell,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,Royal Dutch Shell to Buy BG Group for Nearly 70 Billion Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,royal dutch shell buy bg group nearly  billion royal dutch shell buy bg group nearly  billion
Corporate/Sales,-0.521,omes up short with sales slide,Diageo,City spirits sink after Diageo comes up short with sales slide,omes up short with sales slide City spirits sink after Diageo comes up short with sales slide,omes short sales slide city spirits sink diageo comes short sales slide
Corporate/Reputation,-0.255,United Spirits on financial irregularitie,Diageo,Diageo receives reports from United Spirits on financial irregularities involving ...,United Spirits on financial irregularitie Diageo receives reports from United Spirits on financial irregularities involving ...,united spirits financial irregularitie diageo receives reports united spirits financial irregularities involving
Corporate/Sales,0.213,despite sales slump,Unilever,Unilever profit rises despite sales slump in China,despite sales slump Unilever profit rises despite sales slump in China,despite sales slump unilever profit rises despite sales slump china
Corporate/Sales/Deal,0.777,Wins 9.2 Billion Order From Emirates Airline,RollsRoyce,Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,Wins 9.2 Billion Order From Emirates Airline Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,wins  billion order emirates airline rollsroyce wins  billion order emirates airline
Corporate/Sales,0.256,sales rise,Tesco,Tesco sales rise shows tentative recovery continues,sales rise Tesco sales rise shows tentative recovery continues,sales rise tesco sales rise shows tentative recovery continues
Corporate/Sales,-0.545,sales disappoint,Diageo,Diageo sales disappoint as currency and comparatives leave bitter taste,sales disappoint Diageo sales disappoint as currency and comparatives leave bitter taste,sales disappoint diageo sales disappoint currency comparatives leave bitter taste
Stock/Technical Analysis/Trend/Trending up,0.389,Tesco leads leap in FTSE 100 ,Tesco,Tesco leads leap in FTSE 100; Marks & Spencer drops,Tesco leads leap in FTSE 100  Tesco leads leap in FTSE 100; Marks & Spencer drops,tesco leads leap ftse   tesco leads leap ftse  marks  spencer drops
Corporate/Sales,-0.405,as sales of stalwarts fade,AstraZeneca,AstraZeneca profit down as sales of stalwarts fade,as sales of stalwarts fade AstraZeneca profit down as sales of stalwarts fade,sales stalwarts fade astrazeneca profit sales stalwarts fade
Corporate/Sales,0.385,Profit Up As Sales Continue To Ris,Whitbread,"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO","Profit Up As Sales Continue To Ris Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",profit sales continue ris whitbread profit sales continue rise looking new ceo
Corporate/Risks,-0.331,blames rivals,Glencore,Glencore blames rivals for creating metals glut,blames rivals Glencore blames rivals for creating metals glut,blames rivals glencore blames rivals creating metals glut
Corporate/Dividend Policy,-0.221,6 bln capital return plan,GlaxoSmithKline,Doubts grow over GlaxoSmithKline's $6 bln capital return plan,6 bln capital return plan Doubts grow over GlaxoSmithKline's $6 bln capital return plan,bln capital return plan doubts grow glaxosmithklines  bln capital return plan
Market/Volatility,-0.495,leads Britains FTSE lower,easyJet,easyJet leads Britain's FTSE lower as global bond rout resumes,leads Britains FTSE lower easyJet leads Britain's FTSE lower as global bond rout resumes,leads britains ftse lower easyjet leads britains ftse lower global bond rout resumes
Corporate/Dividend Policy,0.336,Quarterly Dividends,Imperial Tobacco,Imperial Tobacco Adds Quarterly Dividends After Profit Rose,Quarterly Dividends Imperial Tobacco Adds Quarterly Dividends After Profit Rose,quarterly dividends imperial tobacco adds quarterly dividends profit rose
Corporate/Dividend Policy,0.65,dividend up 4,Royal Dutch Shell,Royal Dutch Shell profit rises; dividend up 4%,dividend up 4 Royal Dutch Shell profit rises; dividend up 4%,dividend royal dutch shell profit rises dividend 
Corporate/M&A/Proposed Merger,0.235,BG Group Still Happy With Shells 70 Billion Offer,Shell,BG Group Still Happy With Shell's $70 Billion Offer,BG Group Still Happy With Shells 70 Billion Offer BG Group Still Happy With Shell's $70 Billion Offer,bg group still happy shells  billion offer bg group still happy shells  billion offer
Corporate/M&A/Proposed Merger,0.296,buys Meantime,SABMiller,SABMiller buys Meantime to quench thirst for craft beer,buys Meantime SABMiller buys Meantime to quench thirst for craft beer,buys meantime sabmiller buys meantime quench thirst craft beer
Corporate/Strategy/Corporate Expansion,-0.09,shuts Friends Life head office in rapid integration move,Friends Life,Aviva shuts Friends Life head office in rapid integration move,shuts Friends Life head office in rapid integration move Aviva shuts Friends Life head office in rapid integration move,shuts friends life head office rapid integration move aviva shuts friends life head office rapid integration move
Stock/Technical Analysis/Trend/Trending up,0.459,rise in Britains share index,Sports Direct,Retailers Kingfisher and Sports Direct rise in Britain's share index,rise in Britains share index Retailers Kingfisher and Sports Direct rise in Britain's share index,rise britains share index retailers kingfisher sports direct rise britains share index
